Country,Region,Gross National Income (GNI),Sex,Indicator,2013,2014,2015,2016,2017,2018
Comoros,Sub Saharan Africa,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),3,3,3,3,6.1,6.1
Comoros,Sub Saharan Africa,Lower-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Comoros,Sub Saharan Africa,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,20,20,0,NaN,NaN
Comoros,Sub Saharan Africa,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Comoros,Sub Saharan Africa,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Comoros,Sub Saharan Africa,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Comoros,Sub Saharan Africa,Lower-Middle,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
"Congo, Dem. Rep.",Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),8.9,10.6,8.9,8.9,8.9,8.9
"Congo, Dem. Rep.",Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
"Congo, Dem. Rep.",Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,10.3,8.1,11.6,NaN,NaN
"Congo, Dem. Rep.",Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
"Congo, Dem. Rep.",Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
"Congo, Dem. Rep.",Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
"Congo, Dem. Rep.",Sub Saharan Africa,Low,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
"Congo, Rep.",Sub Saharan Africa,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),7.4,7.4,7.4,7.4,11.3,11.3
"Congo, Rep.",Sub Saharan Africa,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,10.5,10.5,22.9,NaN,NaN
"Congo, Rep.",Sub Saharan Africa,Lower-Middle,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
"Congo, Rep.",Sub Saharan Africa,Lower-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
"Congo, Rep.",Sub Saharan Africa,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
"Congo, Rep.",Sub Saharan Africa,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
"Congo, Rep.",Sub Saharan Africa,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Costa Rica,Americas,Upper-Middle,female,Political Empowerment Score,0.3263,NaN,NaN,NaN,NaN,NaN
Costa Rica,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),38.6,33.3,33.3,33.3,35.1,45.6
Costa Rica,Americas,Upper-Middle,female,Proportion of women in managerial positions,36.8,31.9,28.7,34.6,36.8,NaN
Costa Rica,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,25,40.9,30.4,NaN,NaN
Costa Rica,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Costa Rica,Americas,Upper-Middle,female,Share of female judges,53,52,NaN,NaN,NaN,NaN
Costa Rica,Americas,Upper-Middle,female,Share of female police officers,14,NaN,16,NaN,NaN,NaN
Cote d'Ivoire,Sub Saharan Africa,Lower-Middle,female,Political Empowerment Score,0.0758,NaN,NaN,NaN,NaN,NaN
Cote d'Ivoire,Sub Saharan Africa,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),10.4,9.4,9.2,9.2,10.6,10.6
Cote d'Ivoire,Sub Saharan Africa,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,15.6,16.7,20.9,NaN,NaN
Cote d'Ivoire,Sub Saharan Africa,Lower-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Cote d'Ivoire,Sub Saharan Africa,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Cote d'Ivoire,Sub Saharan Africa,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Cote d'Ivoire,Sub Saharan Africa,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Croatia,Post-communist,High,female,Political Empowerment Score,0.1779,NaN,NaN,NaN,NaN,NaN
Croatia,Post-communist,High,female,Proportion of seats held by women in national parliaments (%),23.8,23.8,15.2,12.6,18.5,18.5
Croatia,Post-communist,High,female,Proportion of women in managerial positions,24.4,23.2,26.7,29.9,29.1,NaN
Croatia,Post-communist,High,female,Proportion of women in ministerial level positions (%),NaN,20,20,20,NaN,NaN
Croatia,Post-communist,High,female,Proportion of women in senior and middle management positions,23.9,24.4,26.1,29.5,27.9,NaN
Croatia,Post-communist,High,female,Share of female judges,69,69,70,NaN,NaN,NaN
Croatia,Post-communist,High,female,Share of female police officers,17,17,18,NaN,NaN,NaN
Cuba,Americas,Upper-Middle,female,Political Empowerment Score,0.3685,NaN,NaN,NaN,NaN,NaN
Cuba,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),48.9,48.9,48.9,48.9,48.9,53.2
Cuba,Americas,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Cuba,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,22.6,31,25.9,NaN,NaN
Cuba,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Cuba,Americas,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Cuba,Americas,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Cyprus,Europe,High,female,Political Empowerment Score,0.1298,NaN,NaN,NaN,NaN,NaN
Cyprus,Europe,High,female,Proportion of seats held by women in national parliaments (%),10.7,12.5,12.5,17.9,17.9,17.9
Cyprus,Europe,High,female,Proportion of women in managerial positions,18.9,17.3,22.8,25.7,20.7,NaN
Cyprus,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,9.1,9.1,9.1,NaN,NaN
Cyprus,Europe,High,female,Proportion of women in senior and middle management positions,18.7,18.1,25.2,27,22.4,NaN
Cyprus,Europe,High,female,Share of female judges,46,47,47,NaN,NaN,NaN
Cyprus,Europe,High,female,Share of female police officers,25,25,25,NaN,NaN,NaN
Czech Republic,Post-communist,High,female,Political Empowerment Score,0.1254,NaN,NaN,NaN,NaN,NaN
Czech Republic,Post-communist,High,female,Proportion of seats held by women in national parliaments (%),19.5,19.5,20,20,20,22
Czech Republic,Post-communist,High,female,Proportion of women in managerial positions,27.2,27.9,29.5,25.4,24.6,NaN
Czech Republic,Post-communist,High,female,Proportion of women in ministerial level positions (%),NaN,7.1,18.8,17.6,NaN,NaN
Czech Republic,Post-communist,High,female,Proportion of women in senior and middle management positions,24.5,26.6,27.8,23.1,24.1,NaN
Czech Republic,Post-communist,High,female,Share of female judges,61,61,60,NaN,NaN,NaN
Czech Republic,Post-communist,High,female,Share of female police officers,15,15,15,NaN,NaN,NaN
Democratic People's Republic of Korea,Asia Pacific,Low,female,Proportion of seats held by women in national parliaments (%),NaN,NaN,NaN,NaN,NaN,NaN
Democratic People's Republic of Korea,Asia Pacific,Low,female,Proportion of women in ministerial level positions (%),NaN,NaN,NaN,NaN,NaN,NaN
Democratic People's Republic of Korea,Asia Pacific,Low,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Democratic People's Republic of Korea,Asia Pacific,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Democratic People's Republic of Korea,Asia Pacific,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Democratic People's Republic of Korea,Asia Pacific,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Democratic People's Republic of Korea,Asia Pacific,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Denmark,Europe,High,female,Political Empowerment Score,0.3738,NaN,NaN,NaN,NaN,NaN
Denmark,Europe,High,female,Proportion of seats held by women in national parliaments (%),39.1,39.1,37.4,37.4,37.4,37.4
Denmark,Europe,High,female,Proportion of women in managerial positions,27.2,26.3,26.9,28,27,NaN
Denmark,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,45.5,26.3,42.9,NaN,NaN
Denmark,Europe,High,female,Proportion of women in senior and middle management positions,27.5,26.2,26.9,28.6,27.6,NaN
Denmark,Europe,High,female,Share of female judges,58,58,56,NaN,NaN,NaN
Denmark,Europe,High,female,Share of female police officers,13,14,14,NaN,NaN,NaN
Djibouti,Sub Saharan Africa,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),12.7,12.7,12.7,12.7,10.8,26.2
Djibouti,Sub Saharan Africa,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,5.3,5.3,5.6,NaN,NaN
Dominican Republic,Americas,Upper-Middle,female,Political Empowerment Score,0.1184,NaN,NaN,NaN,NaN,NaN
Dominican Republic,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),20.8,20.8,20.8,26.8,26.8,26.8
Dominican Republic,Americas,Upper-Middle,female,Proportion of women in managerial positions,36.9,35.3,37.2,36.6,41.1,NaN
Dominican Republic,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,16,19.2,20.8,NaN,NaN
Dominican Republic,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,46.6,46.7,48.9,47.4,50.5,NaN
Dominican Republic,Americas,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Dominican Republic,Americas,Upper-Middle,female,Share of female police officers,NaN,13,NaN,NaN,NaN,NaN
Ecuador,Americas,Upper-Middle,female,Political Empowerment Score,0.3604,NaN,NaN,NaN,NaN,NaN
Ecuador,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),38.7,41.6,41.6,41.6,38,38
Ecuador,Americas,Upper-Middle,female,Proportion of women in managerial positions,35.4,34.6,32.9,35.4,34.8,NaN
Ecuador,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,22.2,23.7,27.5,NaN,NaN
Ecuador,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,35.6,35.6,33.3,34,35.2,NaN
Ecuador,Americas,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Ecuador,Americas,Upper-Middle,female,Share of female police officers,9,10,NaN,NaN,NaN,NaN
"Egypt, Arab Rep.",Middle East and North Africa,Lower-Middle,female,Political Empowerment Score,0.0348,NaN,NaN,NaN,NaN,NaN
"Egypt, Arab Rep.",Middle East and North Africa,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),NaN,NaN,NaN,14.9,14.9,14.9
"Egypt, Arab Rep.",Middle East and North Africa,Lower-Middle,female,Proportion of women in managerial positions,7.1,NaN,6.4,7.1,6.4,NaN
"Egypt, Arab Rep.",Middle East and North Africa,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,10.3,11.8,11.8,NaN,NaN
"Egypt, Arab Rep.",Middle East and North Africa,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
"Egypt, Arab Rep.",Middle East and North Africa,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
"Egypt, Arab Rep.",Middle East and North Africa,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
El Salvador,Americas,Lower-Middle,female,Political Empowerment Score,0.1409,NaN,NaN,NaN,NaN,NaN
El Salvador,Americas,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),26.2,27.4,32.1,32.1,32.1,31
El Salvador,Americas,Lower-Middle,female,Proportion of women in managerial positions,43.5,38.2,40.9,35.3,32.4,NaN
El Salvador,Americas,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,7.1,21.4,21.4,NaN,NaN
El Salvador,Americas,Lower-Middle,female,Proportion of women in senior and middle management positions,42.7,35.6,40.7,34.1,32.7,NaN
El Salvador,Americas,Lower-Middle,female,Share of female judges,46,46,47,NaN,NaN,NaN
El Salvador,Americas,Lower-Middle,female,Share of female police officers,11,11,12,NaN,NaN,NaN
Equatorial Guinea,Sub Saharan Africa,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),12.1,24,24,24,24,20
Equatorial Guinea,Sub Saharan Africa,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,8.7,8.7,9.7,NaN,NaN
Equatorial Guinea,Sub Saharan Africa,Upper-Middle,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Equatorial Guinea,Sub Saharan Africa,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Equatorial Guinea,Sub Saharan Africa,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Equatorial Guinea,Sub Saharan Africa,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Equatorial Guinea,Sub Saharan Africa,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Eritrea,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),22,22,22,22,22,22
Eritrea,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,25,16.7,16.7,NaN,NaN
Eritrea,Sub Saharan Africa,Low,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Eritrea,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Eritrea,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Eritrea,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Eritrea,Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Estonia,Post-communist,High,female,Political Empowerment Score,0.1038,NaN,NaN,NaN,NaN,NaN
Estonia,Post-communist,High,female,Proportion of seats held by women in national parliaments (%),20.8,19,23.8,23.8,26.7,26.7
Estonia,Post-communist,High,female,Proportion of women in managerial positions,33.4,32.6,30.7,36.2,38.5,NaN
Estonia,Post-communist,High,female,Proportion of women in ministerial level positions (%),NaN,16.7,46.2,28.6,NaN,NaN
Estonia,Post-communist,High,female,Proportion of women in senior and middle management positions,32.8,30.8,27.8,31.6,34.3,NaN
Estonia,Post-communist,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Estonia,Post-communist,High,female,Share of female police officers,34,35,35,NaN,NaN,NaN
Eswatini,Sub Saharan Africa,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),6.2,6.2,6.2,6.2,6.2,7.2
Eswatini,Sub Saharan Africa,Lower-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,43.4,NaN,NaN
Eswatini,Sub Saharan Africa,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,26.3,26.3,26.3,NaN,NaN
Eswatini,Sub Saharan Africa,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,54.6,NaN,NaN
Eswatini,Sub Saharan Africa,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Eswatini,Sub Saharan Africa,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Eswatini,Sub Saharan Africa,Lower-Middle,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Ethiopia,Sub Saharan Africa,Low,female,Political Empowerment Score,0.1457,NaN,NaN,NaN,NaN,NaN
Ethiopia,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),27.8,27.8,38.8,38.8,38.8,38.8
Ethiopia,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,26.5,NaN,NaN,NaN,NaN,NaN
Ethiopia,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,13,12.5,10,NaN,NaN
Ethiopia,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,21.1,NaN,NaN,NaN,NaN,NaN
Ethiopia,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Ethiopia,Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Fiji,Asia Pacific,Upper-Middle,female,Political Empowerment Score,0.0448,NaN,NaN,NaN,NaN,NaN
Fiji,Asia Pacific,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),NaN,14,16,16,16,16
Fiji,Asia Pacific,Upper-Middle,female,Proportion of women in managerial positions,NaN,30.4,NaN,38.9,NaN,NaN
Fiji,Asia Pacific,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,9.1,13.3,15.4,NaN,NaN
Fiji,Asia Pacific,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,38.6,NaN,NaN
Fiji,Asia Pacific,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Fiji,Asia Pacific,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Finland,Europe,High,female,Political Empowerment Score,0.6162,NaN,NaN,NaN,NaN,NaN
Finland,Europe,High,female,Proportion of seats held by women in national parliaments (%),42.5,42.5,41.5,41.5,42,42
Finland,Europe,High,female,Proportion of women in managerial positions,29.6,33.7,33.3,34.1,31.3,NaN
Finland,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,50,62.5,38.5,NaN,NaN
Finland,Europe,High,female,Proportion of women in senior and middle management positions,29.5,34.3,33.5,34.1,31.5,NaN
Finland,Europe,High,female,Share of female judges,51,52,54,NaN,NaN,NaN
Finland,Europe,High,female,Share of female police officers,15,16,16,NaN,NaN,NaN
France,Europe,High,female,Political Empowerment Score,0.187,NaN,NaN,NaN,NaN,NaN
France,Europe,High,female,Proportion of seats held by women in national parliaments (%),26.9,26.2,26.2,26.2,39,39.6
France,Europe,High,female,Proportion of women in managerial positions,36,32.7,31.7,32.9,33.4,NaN
France,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,48.6,50,52.9,NaN,NaN
France,Europe,High,female,Proportion of women in senior and middle management positions,35.6,32,30.9,31.1,32.5,NaN
France,Europe,High,female,Share of female judges,66,67,68,NaN,NaN,NaN
France,Europe,High,female,Share of female police officers,11,19,19,NaN,NaN,NaN
Gabon,Sub Saharan Africa,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),15.8,15,14.2,14.2,17.1,17.1
Gabon,Sub Saharan Africa,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,18.8,12.5,17.9,NaN,NaN
Gabon,Sub Saharan Africa,Upper-Middle,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Gabon,Sub Saharan Africa,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Gabon,Sub Saharan Africa,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Gabon,Sub Saharan Africa,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Gabon,Sub Saharan Africa,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Gambia,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),7.5,9.4,9.4,9.4,10.3,10.3
Gambia,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Gambia,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,27.8,21.1,NaN,NaN,NaN
Gambia,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Gambia,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Gambia,Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Gambia,Sub Saharan Africa,Low,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Georgia,Post-communist,Upper-Middle,female,Political Empowerment Score,0.0915,NaN,NaN,NaN,NaN,NaN
Georgia,Post-communist,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),12,12,11.3,NaN,16,16
Georgia,Post-communist,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,32,NaN
Georgia,Post-communist,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,21.1,15.8,11.1,NaN,NaN
Georgia,Post-communist,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Georgia,Post-communist,Upper-Middle,female,Share of female judges,NaN,47,NaN,NaN,NaN,NaN
Georgia,Post-communist,Upper-Middle,female,Share of female police officers,NaN,9,NaN,NaN,NaN,NaN
Germany,Europe,High,female,Political Empowerment Score,0.3611,NaN,NaN,NaN,NaN,NaN
Germany,Europe,High,female,Proportion of seats held by women in national parliaments (%),36.5,36.5,36.5,36.5,37,30.7
Germany,Europe,High,female,Proportion of women in managerial positions,28.9,29,29.3,29.3,29.2,NaN
Germany,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,33.3,33.3,33.3,NaN,NaN
Germany,Europe,High,female,Proportion of women in senior and middle management positions,27.5,27.8,28.1,28.1,28.2,NaN
Germany,Europe,High,female,Share of female judges,NaN,42,NaN,NaN,NaN,NaN
Germany,Europe,High,female,Share of female police officers,19,NaN,NaN,NaN,NaN,NaN
Ghana,Sub Saharan Africa,Lower-Middle,female,Political Empowerment Score,0.0937,NaN,NaN,NaN,NaN,NaN
Ghana,Sub Saharan Africa,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),10.9,10.9,10.9,10.9,12.7,12.7
Ghana,Sub Saharan Africa,Lower-Middle,female,Proportion of women in managerial positions,40.8,NaN,41.8,NaN,NaN,NaN
Ghana,Sub Saharan Africa,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,22.5,23.1,17.4,NaN,NaN
Ghana,Sub Saharan Africa,Lower-Middle,female,Proportion of women in senior and middle management positions,26.7,NaN,33.1,NaN,NaN,NaN
Ghana,Sub Saharan Africa,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Ghana,Sub Saharan Africa,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Greece,Europe,High,female,Political Empowerment Score,0.0969,NaN,NaN,NaN,NaN,NaN
Greece,Europe,High,female,Proportion of seats held by women in national parliaments (%),21,21,19.7,19.7,18.3,18.7
Greece,Europe,High,female,Proportion of women in managerial positions,28.8,28.3,25.7,25.5,29.8,NaN
Greece,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,5.3,10,21.1,NaN,NaN
Greece,Europe,High,female,Proportion of women in senior and middle management positions,25.8,27.8,24.7,24.7,29.7,NaN
Greece,Europe,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Greece,Europe,High,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Grenada,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),33.3,33.3,33.3,33.3,33.3,46.7
Grenada,Americas,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Grenada,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,30.8,46.2,31.3,NaN,NaN
Grenada,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Grenada,Americas,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Grenada,Americas,Upper-Middle,female,Share of female police officers,15,15,NaN,NaN,NaN,NaN
Grenada,Americas,Upper-Middle,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Guatemala,Americas,Upper-Middle,female,Political Empowerment Score,0.0475,NaN,NaN,NaN,NaN,NaN
Guatemala,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),13.3,13.3,13.9,13.9,12.7,12.7
Guatemala,Americas,Upper-Middle,female,Proportion of women in managerial positions,35,34.5,31.8,44.6,NaN,NaN
Guatemala,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,26.7,20,18.8,NaN,NaN
Guatemala,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,29.4,35.4,34.6,NaN,NaN,NaN
Guatemala,Americas,Upper-Middle,female,Share of female judges,NaN,43,NaN,NaN,NaN,NaN
Guatemala,Americas,Upper-Middle,female,Share of female police officers,13,13,NaN,NaN,NaN,NaN
Guinea,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),NaN,21.9,21.9,21.9,21.9,21.9
Guinea,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,14.7,14.7,23.3,NaN,NaN
Guinea,Sub Saharan Africa,Low,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Guinea,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Guinea,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Guinea,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Guinea,Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Guinea-Bissau,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),14,13.7,13.7,13.7,13.7,13.7
Guinea-Bissau,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,NaN,31.3,0,NaN,NaN
Guinea-Bissau,Sub Saharan Africa,Low,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Guinea-Bissau,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Guinea-Bissau,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Guinea-Bissau,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Guinea-Bissau,Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Guyana,Americas,Upper-Middle,female,Political Empowerment Score,0.2668,NaN,NaN,NaN,NaN,NaN
Guyana,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),31.3,31.3,30.4,30.4,31.9,31.9
Guyana,Americas,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,37.9,NaN
Guyana,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,27.8,29.4,16.7,NaN,NaN
Guyana,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,35.4,NaN
Guyana,Americas,Upper-Middle,female,Share of female judges,38,42,56,NaN,NaN,NaN
Guyana,Americas,Upper-Middle,female,Share of female police officers,25,NaN,29,NaN,NaN,NaN
Haiti,Americas,Low,female,Proportion of seats held by women in national parliaments (%),4.2,4.2,4.2,0,2.5,2.5
Haiti,Americas,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Haiti,Americas,Low,female,Proportion of women in ministerial level positions (%),NaN,35,20,NaN,NaN,NaN
